"","Entity_logical_id...2","Subject_type","Leba_numtitle","Leba_publication_date","Leba_url","Programme","Entity_remark","Naal_logical_id","Naal_leba_numtitle","Naal_leba_publication_date","Naal_leba_url","Naal_wholename","Naal_function","Naal_programme","Addr_country","Birt_country","Birt_date","EU_ref_num","logicalId","remark","nameAlias","nameAlias.wholeName","subjectType.classificationCode","birthdate.year","nameAlias.function","citizenship.countryDescription","regulation.publicationUrl","regulation.numberTitle","regulation.regulationType","type"
"11",58,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",87,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Ibrahim Ahmad Abd al-Sattar Muhammed Al-Tikriti","Armed Forces Chief of Staff","IRQ",NA,NA,NA,"EU.165.92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"12",60,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",89,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Saif-al-Din Fulayyih Hassan Taha Al-Rawi","Republican Guard Chief of Staff","IRQ",NA,NA,NA,"EU.45.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"13",63,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",94,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Rafi Abd-al-Latif Tilfah Al-Tikriti","Director of Directorate of General Security","IRQ",NA,NA,NA,"EU.52.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"14",65,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",96,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Tahir Jalil Habbush Al-Tikriti","Director of Iraqi Intelligence Services","IRQ",NA,NA,NA,"EU.120.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"15",67,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",99,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Hamid Raja Shalah Al-Tikriti","Air Force Commander","IRQ",NA,NA,NA,"EU.146.66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"16",69,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",104,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Abd-al-Tawwab Mullah Huwaysh","Deputy Prime Minister","IRQ",NA,NA,NA,"EU.148.68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"17",71,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",107,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Taha Yassin Ramadan Al-Jizrawi","Vice President since 1991","IRQ",NA,NA,NA,"EU.157.32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"18",76,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",115,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Jamal Mustafa Abdallah Sultan Al-Tikriti","Deputy Head of Tribal Affairs in Presidential Office","IRQ",NA,NA,NA,"EU.133.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"19",79,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",119,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Mizban Khadr Hadi","Member, Ba'th Party Regional Command and Revolutionary Command Council since 1991","IRQ",NA,NA,NA,"EU.69.59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"20",81,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",122,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Taha Muhyi-al-Din Ma'ruf","Vice President, Revolutionary Command Council","IRQ",NA,NA,NA,"EU.71.49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"21",83,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",124,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Tariq Aziz","Deputy Prime Minister","IRQ",NA,NA,NA,"EU.77.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"22",86,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",127,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Walid Hamid Tawfiq Al-Tikriti","Governor of Basrah","IRQ",NA,NA,NA,"EU.88.96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"23",87,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",129,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Sultan Hashim Ahmad Al-Ta'i","Minister of Defence","IRQ",NA,NA,NA,"EU.89.61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"24",89,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",132,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Hikmat Mizban Ibrahim al-Azzawi","Deputy Prime Minister and Finance Minister","IRQ",NA,NA,NA,"EU.97.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"25",91,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",134,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Ayad Futayyih Khalifa Al-Rawi","Chief of Staff, Quds Force, 2001 to 2003","IRQ",NA,NA,NA,"EU.99.62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"26",93,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",137,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Amir Hamudi Hassan Al-Sa'di","Presidential Scientific Advisor","IRQ",NA,NA,NA,"EU.101.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"27",98,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",145,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Sab'awi Ibrahim Hassan Al-Tikriti","Presidential Advisor","IRQ",NA,NA,NA,"EU.59.58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"28",99,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",148,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Watban Ibrahim Hassan Al-Tikriti","Presidential Advisor","IRQ",NA,NA,NA,"EU.62.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"29",101,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",153,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Barzan Ibrahim Hassan Al-Tikriti","Presidential Advisor","IRQ",NA,NA,NA,"EU.63.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"30",103,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",156,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Huda Salih Mahdi Ammash","Member, Ba'th Party Regional Command","IRQ",NA,NA,NA,"EU.65.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"31",124,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",170,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Humam Abd-al-Khaliq Abd-al-Ghafur","Minister of Higher Education and Research, 1992 to 1997, 2001 to 2003","IRQ",NA,NA,NA,"EU.169.96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"32",130,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",187,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Yahia Abdallah Al-Ubaidi","Ba'th Party Regional Command Chairman, al-Basrah","IRQ",NA,NA,NA,"EU.150.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"33",133,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","((a) Died in 2003, (b) UNSC RESOLUTION 1483 BASIS: see function)",191,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Nayif Shindakh Thamir Ghalib","Ba'th Party Regional Command Chairman, An-Najaf","IRQ",NA,NA,NA,"EU.153.28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"34",136,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",195,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Saif-al-Din Al-Mashhadani","Ba'th Party Regional Command Chairman, Al-Muthanna","IRQ",NA,NA,NA,"EU.134.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"35",139,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",199,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Fadil Mahmud Gharib","Ba'th Party Regional Command Chairman, Babil","IRQ",NA,NA,NA,"EU.90.86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"36",143,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",206,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Muhsin Khadr Al-Khafaji","Ba'th Party Regional Command Chairman, al-Qadisyah","IRQ",NA,NA,NA,"EU.103.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"37",146,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",208,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Rashid Taan Kathim","Ba'th Party Regional Command Chairman, al-Anbar","IRQ",NA,NA,NA,"EU.114.72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"38",147,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",211,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Ugla Abid Sakr Al-Zubaisi","Ba'th Party Regional Command Chairman, Maysan","IRQ",NA,NA,NA,"EU.115.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"39",153,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",217,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Ghazi Hammud Al-Ubaidi","Ba'th Party Regional Command Chairman, Wasit","IRQ",NA,NA,NA,"EU.124.37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"40",154,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",218,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Adil Abdallah Mahdi","Ba'th Party Regional Command Chairman, Dhi-Qar","IRQ",NA,NA,NA,"EU.125.38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"41",156,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",222,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Khamis Sirhan Al-Muhammad","Ba'th Party Regional Command Chairman, Karbala","IRQ",NA,NA,NA,"EU.127.40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"42",157,"P","1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","IRQ","(UNSC RESOLUTION 1483 BASIS)",224,"1210/2003 (OJ L169)",2003-07-08,"http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF","Sa'd Abd-al-Majid Al-Faisal Al-Tikriti","Ba'th Party Regional Command Chairman, Salah Ad-Din","IRQ",NA,NA,NA,"EU.128.41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"43",175,"P","2022/1230 (OJ L190)",2022-07-19,"https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.L_.2022.190.01.0001.01.ENG&toc=OJ%3AL%3A2022%3A190%3ATOC","TERR",NA,263,"2022/1230 (OJ L190)",2022-07-19,"https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.L_.2022.190.01.0001.01.ENG&toc=OJ%3AL%3A2022%3A190%3ATOC","AL-NASSER Abdelkarim Hussein Mohamed",NA,"TERR",NA,NA,NA,"EU.3567.71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"44",176,"P","2022/1230 (OJ L190)",2022-07-19,"https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.L_.2022.190.01.0001.01.ENG&toc=OJ%3AL%3A2022%3A190%3ATOC","TERR",NA,264,"2022/1230 (OJ L190)",2022-07-19,"https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.L_.2022.190.01.0001.01.ENG&toc=OJ%3AL%3A2022%3A190%3ATOC","AL-YACOUB Ibrahim Salih Mohammed",NA,"TERR",NA,NA,NA,"EU.3568.36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
"45",189,"P","2022/1230 (OJ L190)",2022-07-19,"https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.L_.2022.190.01.0001.01.ENG&toc=OJ%3AL%3A2022%3A190%3ATOC","TERR",NA,283,"2022/1230 (OJ L190)",2022-07-19,"https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.L_.2022.190.01.0001.01.ENG&toc=OJ%3AL%3A2022%3A190%3ATOC","AL-DIN Izz Hasan",NA,"TERR",NA,NA,NA,"EU.3577.72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"financial sanction"
